Name,Price,Location,Rooms,Link
South Bank,£457,"17 Great Suffolk Street, Southwark, London",2,https://www.accommodationforstudents.com/student-hall/1705-south-bank-london
iQ Will Wyatt Court,£315,"168 Pitfield Street, Hoxton, London",3,https://www.accommodationforstudents.com/student-hall/3371-iq-will-wyatt-court-london
New Orient House,£305,"Station Court, Imperial Road, Fulham, London",0,https://www.accommodationforstudents.com/student-hall/500-new-orient-house-london
White City,£393,"10 Westway, Fulham, London",0,https://www.accommodationforstudents.com/student-hall/3247-white-city-london
Central Studios,£340,"1 The Grove, Ealing, London",0,https://www.accommodationforstudents.com/student-hall/1704-central-studios-london
The Hub,£251,"21-25 South Lambeth Road, Vauxhall, London",0,https://www.accommodationforstudents.com/student-hall/1851-the-hub-london
The Lyra,£348,"Portal Way, North Acton, London",0,https://www.accommodationforstudents.com/student-hall/566-the-lyra-london
Fulham Palace Studios,£374,"168-188 Fulham Palace Road, Hammersmith, London",0,https://www.accommodationforstudents.com/student-hall/423-fulham-palace-studios-london
urbanest Victoria,£329,"84-99 Thirleby Road, Westminster, London",0,https://www.accommodationforstudents.com/student-hall/3803-urbanest-victoria-london
Academic House,£260,"Herne Hill, Southwark, London",0,https://www.accommodationforstudents.com/student-hall/3228-academic-house-london
Host Kings Cross,£410,"25-27 Canal Reach, King's Cross, London",0,https://www.accommodationforstudents.com/student-hall/1830-host-kings-cross-london
